grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,30,62,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0164070864473709,0.0484376262651457,18.98359291355263,1.0515623737348543,14.0,14.0,0.2518813587174325,0.2523200815066403
100x100x100,1.0,30,63,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0157815046516645,0.0467085951452547,18.984218495348337,1.0532914048547455,12.0,12.0,0.2519440113823906,0.2523202342501798
100x100x100,1.0,30,64,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0139337187953137,0.0452688730736051,18.986066281204685,1.054731126926395,26.0,26.0,0.25183664058683386,0.2523238789783728
100x100x100,1.0,30,65,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0129419669371809,0.047907636012998,18.98705803306282,1.0520923639870021,12.0,12.0,0.251806738457375,0.2523199899929515
100x100x100,1.0,30,66,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0159927387324232,0.0486649651171439,18.98400726126758,1.0513350348828563,3.0,3.0,0.2519065736708396,0.2523223063294244
100x100x100,1.0,30,67,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0164945386054276,0.0498850507060629,18.98350546139457,1.0501149492939372,10.0,10.0,0.2518704803532066,0.2523206786088836
100x100x100,1.0,30,68,nearest,5.0,25.0,0.2,100,99,14.0,10.0,2.0,1.0153837297300292,0.0450099243894457,18.98461627026997,1.0549900756105544,4.0,4.0,0.25182555842312565,0.2523178919216134
100x100x100,1.0,30,69,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0134022375108336,0.0439536039894534,18.986597762489165,1.0560463960105466,7.0,7.0,0.2519887504906785,0.2523218413336752
100x100x100,1.0,30,70,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.01421264200955,0.0442195398489183,18.98578735799045,1.0557804601510818,37.0,37.0,0.25189287904411317,0.2523220633520653
100x100x100,1.0,30,71,nearest,5.0,25.0,0.2,100,99,4.0,4.0,2.0,1.011911378290329,0.0409459517326033,18.98808862170967,1.0590540482673967,61.0,61.0,0.25197263788811897,0.2523220948333431
100x100x100,1.0,30,72,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0134837919317263,0.0447327271780865,18.986516208068274,1.0552672728219137,5.0,5.0,0.2518559649139617,0.2523239820156748
100x100x100,1.0,30,73,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.01309300456063,0.0407760215352547,18.98690699543937,1.0592239784647455,18.0,18.0,0.25204045311850853,0.252321186079513
100x100x100,1.0,30,74,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0140248115785455,0.046614974870385,18.985975188421456,1.053385025129615,4.0,4.0,0.2519441333980297,0.2523146159278241
100x100x100,1.0,30,75,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0142830342343068,0.045541541620211,18.985716965765693,1.0544584583797891,14.0,14.0,0.2520433397071744,0.2523158235791453
