nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,grid,steps,agent_radius,agent_mass,v0_max,rho_threshold,max_vel,tau_bgk,condition_dir,grid_volume,grid_side
100,100,100,1.0,30,100,100,81,nearest,True,completed,5,5,0,1.0129261443190718,0.0452465177097118,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,82,nearest,True,completed,4,4,0,1.0123515388255533,0.0466149271301727,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,83,nearest,True,completed,4,4,0,1.016135996196038,0.0493877587927506,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,84,nearest,True,completed,8,8,0,1.013210702264916,0.043283463783668,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,85,nearest,True,completed,8,8,0,1.01554012030908,0.0453301617575875,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,86,nearest,True,completed,6,6,0,1.015254223349556,0.0475538249112134,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,87,nearest,True,completed,13,6,0,1.0146576710603232,0.0475558982206754,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,88,nearest,True,completed,3,3,0,1.0157099478335816,0.0491318717824666,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,89,nearest,True,completed,5,5,0,1.0114510491526278,0.0422766554622001,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,90,nearest,True,completed,6,6,0,1.0127209954190857,0.0468557819766895,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,91,nearest,True,completed,8,7,0,1.012690428596338,0.0447413561592756,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,92,nearest,True,completed,6,6,0,1.0139581804862354,0.0454122043372864,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,93,nearest,True,completed,9,8,0,1.016711360428056,0.0476859246560396,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,94,nearest,True,completed,7,7,1,1.0149960319945546,0.0491107527784935,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,95,nearest,True,completed,7,7,0,1.0153101418353734,0.0494794222943406,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,96,nearest,True,completed,6,6,1,1.0140838848521956,0.0478264294844458,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,97,nearest,True,completed,4,4,0,1.0133691932730615,0.0461626902967609,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,98,nearest,True,completed,7,5,0,1.0136232746649536,0.0457261766133233,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,99,nearest,True,completed,4,4,0,1.0153480277071814,0.0484904949828617,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,100,nearest,True,completed,5,5,0,1.013680627405641,0.0475279459360194,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,101,nearest,True,completed,6,6,0,1.0136782042056462,0.0441202076197255,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,102,nearest,True,completed,8,8,0,1.015440920308903,0.0460753466492785,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,103,nearest,True,completed,4,4,0,1.0160902926547597,0.0499629823977269,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,104,nearest,True,completed,8,8,1,1.0147234411191142,0.0459355346802579,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,105,nearest,True,completed,4,4,0,1.0117896295813067,0.0465471945675685,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,106,nearest,True,completed,5,5,0,1.0133779907512233,0.0429051112242818,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
