grid,rho0,n_agents,force_scheme,agent_radius,agent_mass,v0_max,attempts_total,stable_runs_obtained,unstable_attempts,stability_fraction,raw_detections_n,raw_detections_mean,raw_detections_sd,raw_detections_median,raw_detections_ci95_low,raw_detections_ci95_high,raw_detections_iqr,raw_detections_min,raw_detections_max,unique_events_n,unique_events_mean,unique_events_sd,unique_events_median,unique_events_ci95_low,unique_events_ci95_high,unique_events_iqr,unique_events_min,unique_events_max,steps_completed_n,steps_completed_mean,steps_completed_sd,steps_completed_median,steps_completed_ci95_low,steps_completed_ci95_high,steps_completed_iqr,steps_completed_min,steps_completed_max,final_active_contacts_n,final_active_contacts_mean,final_active_contacts_sd,final_active_contacts_median,final_active_contacts_ci95_low,final_active_contacts_ci95_high,final_active_contacts_iqr,final_active_contacts_min,final_active_contacts_max,max_rho_observed_n,max_rho_observed_mean,max_rho_observed_sd,max_rho_observed_median,max_rho_observed_ci95_low,max_rho_observed_ci95_high,max_rho_observed_iqr,max_rho_observed_min,max_rho_observed_max,max_u_observed_n,max_u_observed_mean,max_u_observed_sd,max_u_observed_median,max_u_observed_ci95_low,max_u_observed_ci95_high,max_u_observed_iqr,max_u_observed_min,max_u_observed_max,grid_volume,grid_side
100x100x100,4.55,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,6.57,3.269865471547752,6.0,5.921187750194784,7.218812249805216,5.0,1.0,15.0,100,5.83,2.6592890369078317,6.0,5.302339361379956,6.357660638620044,4.0,1.0,13.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.08,0.2726599243442907,0.0,0.02589835560977883,0.13410164439022118,0.0,0.0,1.0,100,4.697917630048602,0.6421441777102679,4.609195737084387,4.570502293771079,4.825332966326125,0.005853638740820344,4.597105467276186,10.14624494477819,100,0.07373734412390238,0.12031821354125548,0.05585143422740935,0.049863600234587024,0.09761108801321774,0.008318675690472281,0.04409340494681,0.9140360106747392,1000000,100
100x100x100,4.55,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,9.16,3.7570674142947653,9.0,8.414516314830339,9.905483685169662,5.0,1.0,20.0,100,8.23,3.287119029659789,8.0,7.577764269946676,8.882235730053326,4.0,1.0,16.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.06,0.238683256575942,0.0,0.01264006362421656,0.10735993637578344,0.0,0.0,1.0,100,4.754619520915383,0.8455908672927124,4.610365954297288,4.586835947616497,4.9224030942142685,0.008291693605531947,4.597105467276186,10.238696320279283,100,0.08376165759372739,0.1447495889226549,0.0581644554420266,0.05504019878617765,0.11248311640127713,0.009273775520022468,0.0435503915051731,0.9459924890390246,1000000,100
100x100x100,4.55,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,13.78,4.520614957719757,14.0,12.883011916929734,14.676988083070265,6.0,3.0,23.0,100,12.5,4.04894299712152,12.5,11.696601866910436,13.303398133089564,5.0,2.0,23.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.09,0.32082595426382343,0.0,0.026341170304083283,0.1536588296959167,0.0,0.0,2.0,100,4.820501023608743,1.0748931123450016,4.612853158024198,4.607218910142899,5.033783137074586,0.00735332921913745,4.599614335400575,11.641079696777178,100,0.09606572115373206,0.17507346760261316,0.060586197477534603,0.061327346934720015,0.13080409537274412,0.009791459766282096,0.0448763053571007,1.0,1000000,100
130x130x130,1.0,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,2.87,2.359827934148564,2.5,2.4017589410235263,3.338241058976474,3.0,0.0,14.0,100,2.57,1.6283783840422845,2.0,2.24689440067864,2.8931055993213595,3.0,0.0,6.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.02,0.14070529413628968,0.0,-0.00791898298031789,0.047918982980317895,0.0,0.0,1.0,100,1.014119202331657,0.0014173521551974454,1.0142414115041736,1.013837968914386,1.014400435748928,0.0023367455047065278,1.010776291565643,1.016796322736398,100,0.04562542092519875,0.0029138736932712646,0.04593816821248925,0.04504724516750169,0.04620359668289581,0.004054294445815322,0.0370324140729672,0.0516413596932589,2197000,130
130x130x130,1.0,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,5.16,5.958984389096431,4.0,3.9776082160916033,6.342391783908397,3.0,0.0,44.0,100,4.31,2.2188130415001877,4.0,3.8697393550654304,4.750260644934569,3.0,0.0,11.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.03,0.1714466079977653,0.0,-0.004018726588115737,0.06401872658811573,0.0,0.0,1.0,100,1.0147961158784293,0.0012123316867641005,1.0150082074963402,1.0145555629700471,1.0150366687868115,0.0018975953846136484,1.011418307926896,1.0172153153860604,100,0.04677335712680072,0.0022613120320928593,0.046940714155122354,0.04632466376011022,0.047222050493491215,0.0030186174639654575,0.0407760215352547,0.052463530595524,2197000,130
130x130x130,1.0,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,7.93,3.8827642969743335,7.0,7.1595753262929005,8.700424673707099,5.0,2.0,23.0,100,7.09,2.7120941254784183,7.0,6.551861686192778,7.628138313807222,4.0,1.0,14.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.08,0.27265992434429076,0.0,0.025898355609778823,0.13410164439022118,0.0,0.0,1.0,100,1.015121060558367,0.0015466305906847216,1.0150739853933177,1.014814175494779,1.0154279456219548,0.0016749189831051225,1.0114876694040984,1.025312273539736,100,0.047553666302029264,0.004421956603713423,0.04752834448239355,0.0466762541768025,0.04843107842725603,0.0030134828229261,0.0417610683634158,0.0865622041883265,2197000,130
130x130x130,1.0,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,12.35,5.955008078258267,11.0,11.168397202428588,13.531602797571411,7.0,4.0,36.0,100,10.35,3.2856437033638546,10.0,9.698057006691226,11.001942993308774,5.0,4.0,18.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.13,0.36666666666666664,0.0,0.05724537844183136,0.20275462155816865,0.0,0.0,2.0,100,1.0152427915017208,0.000990014351691213,1.0152378259346526,1.0150463511758268,1.0154392318276149,0.0012988894856864608,1.012882957984037,1.0172153153860604,100,0.04741040453865777,0.002034774407920111,0.04787209023384595,0.047006661151372836,0.0478141479259427,0.0022653719839381276,0.0417610683634158,0.0505855095471603,2197000,130
130x130x130,1.8,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,2.22,1.6912131799989087,2.0,1.8844266139499797,2.5555733860500207,2.0,0.0,8.0,100,2.02,1.414070705302942,2.0,1.7394176935796142,2.300582306420386,2.0,0.0,5.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.03,0.1714466079977653,0.0,-0.004018726588115737,0.06401872658811573,0.0,0.0,1.0,100,1.8159694498489274,0.002271384900085679,1.8155575350235555,1.8155187578066947,1.81642014189116,0.0030606489409910065,1.8112620585376065,1.82252329011054,100,0.038794191473226214,0.0072371172958306485,0.037749990375155154,0.03735819039132557,0.04023019255512686,0.01042066293234685,0.0258002335493179,0.058443998960178,2197000,130
130x130x130,1.8,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,3.96,5.491812087098393,3.0,2.8703053361852184,5.0496946638147815,2.0,0.0,50.0,100,3.14,1.8478488722147854,3.0,2.773346694378158,3.506653305621842,2.0,0.0,10.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.03,0.17144660799776532,0.0,-0.004018726588115744,0.06401872658811575,0.0,0.0,1.0,100,1.81634778856667,0.0019310555039163953,1.816038551349602,1.8159646252601374,1.8167309518732024,0.0023354604024472536,1.81263980682306,1.82252329011054,100,0.03991572414502576,0.006371216788164868,0.039128100807981,0.03865153650969489,0.04117991178035663,0.008444859735022452,0.0276128804827783,0.058443998960178,2197000,130
130x130x130,1.8,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,6.02,3.390360667325153,5.0,5.347278889190159,6.69272111080984,4.0,1.0,21.0,100,5.42,2.327612033346145,5.0,4.958151274671804,5.8818487253281955,3.0,1.0,12.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,1.8166322643838464,0.0019663500422550484,1.8162185663896324,1.816242097875187,1.8170224308925058,0.002766445546003471,1.812894126080593,1.822367005643826,100,0.040936357862713525,0.006372836852299829,0.04024804553666935,0.03967184877151073,0.04220086695391632,0.008431284391408653,0.0275305686151723,0.0571173873655283,2197000,130
130x130x130,1.8,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,8.82,3.7128768556813925,8.5,8.08328468038041,9.55671531961959,4.25,2.0,24.0,100,7.71,2.8007755058810826,8.0,7.154265376364274,8.265734623635726,4.0,2.0,14.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.1,0.3333333333333333,0.0,0.03385943494711943,0.16614056505288058,0.0,0.0,2.0,100,1.8174213810679065,0.002063409415969284,1.817201018934691,1.8170119558737836,1.8178308062620294,0.003187371044461429,1.8136638530108375,1.822367005643826,100,0.04322590503134876,0.006695729334734474,0.04320013521974895,0.0418973270664273,0.04455448299627022,0.010651043385401522,0.0280875385683339,0.0571173873655283,2197000,130
130x130x130,2.93,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,1.75,1.4025589888385148,1.5,1.4717018678746714,2.028298132125329,2.0,0.0,5.0,100,1.64,1.2911509234286702,1.0,1.3838076450676375,1.8961923549323623,1.0,0.0,5.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.01,0.09999999999999999,0.0,-0.00984216951586417,0.029842169515864173,0.0,0.0,1.0,100,2.963232319298987,0.0038966675010629953,2.96246695431833,2.9624591359279564,2.9640055026700174,0.005446193965255919,2.956181756133893,2.9740493888503337,100,0.04949755817966772,0.007253662827452172,0.0484629217365507,0.04805827410533543,0.05093684225400001,0.01042066293234685,0.0365131649107135,0.0691569303215736,2197000,130
130x130x130,2.93,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,2.94,2.7517487552684043,2.0,2.3939933473289607,3.486006652671039,2.25,0.0,23.0,100,2.52,1.4939609070920135,2.0,2.223565744314061,2.816434255685939,3.0,0.0,7.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.01,0.09999999999999999,0.0,-0.00984216951586417,0.029842169515864173,0.0,0.0,1.0,100,2.963981680927679,0.003375150060022235,2.9636524141394194,2.9633119779313546,2.9646513839240036,0.004479221397623245,2.956176218926956,2.9740493888503337,100,0.050628655506421295,0.006371216788164871,0.0498410321693766,0.049364467871090424,0.05189284314175217,0.008444859735022354,0.0383258118441738,0.0691569303215736,2197000,130
130x130x130,2.93,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,4.72,2.5028468639216475,4.0,4.2233808825381765,5.216619117461823,3.0,1.0,15.0,100,4.25,2.0418599166426477,4.0,3.844850694063283,4.6551493059367175,3.25,1.0,9.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.05,0.26111648393354675,0.0,-0.0018111753759585889,0.1018111753759586,0.0,0.0,2.0,100,2.9643935592842285,0.003464416494152743,2.9638800086385775,2.963706143890723,2.965080974677734,0.00489246730014381,2.955779783013727,2.9739181703213244,100,0.05164652663672603,0.00637876400554529,0.05096097689806485,0.05038084146972881,0.052912211803723255,0.008431284391408674,0.0379672412382652,0.0678303187269238,2197000,130
130x130x130,2.93,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,6.46,2.614721338262966,6.0,5.94118255969439,6.97881744030561,3.0,1.0,13.0,100,5.96,2.3480918537262023,6.0,5.494087633995449,6.4259123660045505,3.0,1.0,12.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.06,0.23868325657594203,0.0,0.012640063624216553,0.10735993637578345,0.0,0.0,1.0,100,2.9657858232261822,0.003460395047284883,2.965690047079736,2.9650992057749814,2.966472440677383,0.005365483690776163,2.9572503301123603,2.9739181703213244,100,0.053938836392744306,0.006695729334734476,0.05391306658114445,0.05261025842782285,0.055267414357665766,0.010651043385401522,0.0388004699297294,0.0678303187269238,2197000,130
130x130x130,4.55,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,1.42,1.3194734180763557,1.0,1.1581878476685223,1.6818121523314775,1.25,0.0,6.0,100,1.31,1.1520293907586374,1.0,1.081412375413094,1.5385876245869061,1.25,0.0,6.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.01,0.09999999999999999,0.0,-0.00984216951586417,0.029842169515864173,0.0,0.0,1.0,100,4.6720600165946475,0.4491304002511891,4.607595387257971,4.582942801229527,4.761177231959768,0.008413354372873272,4.5975768890001385,7.814830209609694,100,0.07367955560007623,0.127402312708781,0.05453875716392195,0.048400172745268547,0.09895893845488392,0.01042066293234685,0.0425890003380847,1.0,2197000,130
